clave_entidad,clave_actividad_economica,anio_censal,UE,A111A,H001A
5,3332,2014,8,127.951,96
5,3333,2014,5,720.261,1170
5,3334,2014,12,337.012,748
5,3335,2014,18,501.686,665
5,3336,2014,4,18092.715,4084
5,3339,2014,35,3643.813,3112
5,3342,2014,4,29.036,274
5,3344,2014,12,1263.328,6883
5,3345,2014,6,91.398,313
5,3351,2014,4,163.332,623
5,3352,2014,10,4764.155,9384
5,3353,2014,16,1240.217,6199
5,3359,2014,7,4705.495,1436
5,3362,2014,17,3903.612,1988
5,3363,2014,134,113146.013,115758
5,3365,2014,7,6681.079,5971
5,3371,2014,511,1609.992,4509
5,3372,2014,21,88.966,384
5,3379,2014,16,6.295,44
5,3391,2014,38,348.736,1910
5,3399,2014,154,309.279,2245
5,4311,2014,376,3834.327,8207
5,4312,2014,81,2612.884,3794
5,4321,2014,83,124.567,386
5,4331,2014,34,52.652,396
5,4332,2014,35,22.938,125
5,4333,2014,7,1.88,20
5,4334,2014,46,160.959,385
5,4335,2014,11,21.435,111
5,4341,2014,319,407.2,1601
5,4342,2014,890,2927.132,7537
5,4343,2014,441,1436.395,2635
5,4351,2014,56,321.353,713
5,4352,2014,102,437.089,991
5,4353,2014,165,275.034,1129
5,4354,2014,226,1468.918,2329
5,4361,2014,39,471.28,708
5,4611,2014,16475,2825.172,34425
5,4612,2014,1649,484.675,6429
5,4621,2014,1903,6361.875,24766
5,4622,2014,68,2441.165,5002
5,4631,2014,279,153.299,1561
5,4632,2014,2724,839.351,6488
5,4633,2014,515,376.961,2722
5,4641,2014,1492,1326.326,6632
5,4651,2014,392,119.939,951
5,4652,2014,409,214.474,1189
5,4653,2014,2333,342.479,4369
5,4659,2014,1049,109.983,1911
5,4661,2014,638,977.592,3683
5,4662,2014,659,547.124,2952
5,4663,2014,541,126.76,1395
5,4664,2014,1140,58.585,1677
5,4671,2014,1995,1890.659,7951
5,4681,2014,280,1519.967,3779
5,4682,2014,1090,944.256,5394
5,4683,2014,51,81.328,246
